Launching API Gateway in EMT mode...
Setting Java heap size to 1024 MB
INFO    08/Mar/2022:01:11:46.799 [0001:000000000000000000000000]         SSL context certificate { subject: /CN=Change this for production, thumbprint: DA:97:6B:A9:ED:5D:8E:83:67:1F:17:9B:87:F3:1F:2D:89:77:84:58 }
INFO    08/Mar/2022:01:11:47.005 [0001:000000000000000000000000]             serving content from /opt/Axway/apigateway/webapps/apiportal/ at URI prefix /
INFO    08/Mar/2022:01:11:47.105 [0001:000000000000000000000000]         serving content from /opt/Axway/apigateway/samples/oauth/templates/ at URI prefix /xlib/
INFO    08/Mar/2022:01:12:07.191 [0001:000000000000000000000000]         serving content from /opt/Axway/apigateway/docs/ at URI prefix /docs
INFO    08/Mar/2022:01:12:07.282 [0001:000000000000000000000000]         serving content from /opt/Axway/apigateway/webapps/apiportal/common/themes/ at URI prefix /common/themes
INFO    08/Mar/2022:01:12:07.298 [0001:000000000000000000000000]         serving content from /opt/Axway/apigateway/webapps/apiportal/vordel/apiportal/app-login/ at URI prefix /vordel/apiportal/app-login
INFO    08/Mar/2022:01:12:07.305 [0001:000000000000000000000000]         SSL/TCP interface
INFO    08/Mar/2022:01:12:07.305 [0001:000000000000000000000000]             no EDH key exchange
INFO    08/Mar/2022:01:12:07.380 [0001:000000000000000000000000]             option "nosslv3" enabled
INFO    08/Mar/2022:01:12:07.380 [0001:000000000000000000000000]             option "nosslv2" enabled
INFO    08/Mar/2022:01:12:07.381 [0001:000000000000000000000000]             SSL session cache size for this interface: 32
INFO    08/Mar/2022:01:12:07.381 [0001:000000000000000000000000]             interface ciphers: FIPS:!SSLv3:!aNULL:!TLSv1:!kRSA
INFO    08/Mar/2022:01:12:07.382 [0001:000000000000000000000000]             checking invariants for interface *:8089
INFO    08/Mar/2022:01:12:07.382 [0001:000000000000000000000000]                 listen on address: 0.0.0.0:8089
INFO    08/Mar/2022:01:12:07.385 [0001:000000000000000000000000]         SSL context certificate { subject: /CN=Change this for production, thumbprint: DA:97:6B:A9:ED:5D:8E:83:67:1F:17:9B:87:F3:1F:2D:89:77:84:58 }
INFO    08/Mar/2022:01:12:07.701 [0001:000000000000000000000000]             serving content from /opt/Axway/apigateway/webapps/apiportal/ at URI prefix /
INFO    08/Mar/2022:01:12:08.098 [0001:000000000000000000000000]         SSL/TCP interface
INFO    08/Mar/2022:01:12:08.098 [0001:000000000000000000000000]             no EDH key exchange
INFO    08/Mar/2022:01:12:08.099 [0001:000000000000000000000000]             option "nosslv3" enabled
INFO    08/Mar/2022:01:12:08.099 [0001:000000000000000000000000]             option "nosslv2" enabled
INFO    08/Mar/2022:01:12:08.099 [0001:000000000000000000000000]             SSL session cache size for this interface: 32
INFO    08/Mar/2022:01:12:08.099 [0001:000000000000000000000000]             interface ciphers: FIPS:!SSLv3:!aNULL:!TLSv1:!kRSA
INFO    08/Mar/2022:01:12:08.099 [0001:000000000000000000000000]             checking invariants for interface *:8065
